OBJECTID,State,County,year,cattle_cow_beef,cattle_cow_milk,cattle_excl_cows,hogs,sheep_goats,broilers,layers,horses,donkeys,mules,rabbits,cattle_beef_slaughtered,hogs_slaughtered,broilers_slaughtered,标记
26,ALABAMA,COLBERT,1997,9594.0,8.215668399390974,,1709.7521449128562,124.15399228665271,1282775.0,82592.1300052549,,,,,639.983710908492,1299.2025663357454,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
19,ALABAMA,CHEROKEE,1997,7941.0,201.28387578507886,,1143.030561676944,0.0,1469017.0,,,,,,529.7175993667223,868.5634602356728,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
24,ALABAMA,CLEBURNE,1997,6701.0,13.350461149010332,,2494.8532855986978,28.468431352353488,3342127.0,270099.01428841683,,,,,447.00133904500774,1895.7834332450568,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
31,ALABAMA,CULLMAN,1997,40735.0,2042.6205557985807,,525.176204013731,638.9581259083783,20768080.0,3098691.4703450114,,,,,2717.2958582298756,399.0696979461199,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
34,ALABAMA,DE KALB,1997,35669.0,841.0790523876509,,27934.473829314535,151.83163387921857,13618631.0,1980046.789251841,,,,,2379.359910818741,21226.78435951542,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
37,ALABAMA,ETOWAH,1997,12637.0,750.7066999943502,,1117.4641744632936,197.69743994689924,3737747.0,131351.1870152432,,,,,842.9720820044415,849.1361321409325,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
45,ALABAMA,JACKSON,1997,19468.0,813.3511715397063,,12636.186880346606,53.77370366555658,2744957.0,358187.2808714889,,,,,1298.6452870509195,9601.956910825304,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
57,ALABAMA,MARSHALL,1997,25423.0,430.2956324181022,,3973.4426794548,275.1948364060837,9816097.0,2199035.9988361644,,,,,1695.883456579799,3019.330574724194,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
67,ALABAMA,SAINT CLAIR,1997,10275.0,27.727880847944533,,24554.384386443202,189.78954234902324,3103358.0,589.2667270841638,,,,,685.4109474238852,18658.329690989987,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
13,ALABAMA,BIBB,1997,0.0,,,23.435854945846003,0.0,0.0,67.93155298825481,,,,,0.0,17.808384086845106,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
18,ALABAMA,CHAMBERS,1997,0.0,,,63.91596803412547,0.0,0.0,,,,,,0.0,48.56832023685029,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
20,ALABAMA,CHILTON,1997,11543.0,35.94354924733551,,0.0,116.24609468877674,46.0,635.0810302622891,,,,,769.9949942689934,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
23,ALABAMA,CLAY,1997,11091.0,213.60737838416532,,0.0,34.003959670866664,1658583.0,332643.43714434723,,,,,739.8435832484973,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
28,ALABAMA,COOSA,1997,4275.0,13.350461149010332,,0.0,0.0,0.0,120.0650703978457,,,,,285.1709781252662,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
38,ALABAMA,FAYETTE,1997,4233.0,1121.4387365168677,,0.0,0.0,299029.0,213.27348031196277,,,,,282.36929834017576,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
46,ALABAMA,JEFFERSON,1997,4002.0,29.781797947792278,,907.6067460845817,0.0,0.0,230.65131944849304,,,,,266.960059522179,689.6701473632743,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
47,ALABAMA,LAMAR,1997,4990.0,589.4742076563023,,515.5888088086122,0.0,0.0,331.7587471519421,,,,,332.8662411333516,391.7844499105924,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
50,ALABAMA,LEE,1997,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
63,ALABAMA,PICKENS,1997,9134.0,225.93088098325174,,19453.89013731999,3.1631590391503877,4098253.0,449286.65303585434,,,,,609.2986465955978,14782.577736089335,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
65,ALABAMA,RANDOLPH,1997,13542.0,545.3149900095758,,650.8776078141776,189.78954234902324,3218760.0,1152540.9462307517,,,,,903.3416107069833,494.5873944119255,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
68,ALABAMA,SHELBY,1997,6799.0,574.0698294074442,,57.52437123071292,68.00791934173333,0.0,377.5730503300674,,,,,453.5385918768853,43.71148821316526,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
70,ALABAMA,TALLADEGA,1997,10560.0,455.969596166199,,0.0,0.0,1211881.0,,,,,,704.4223459655697,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
71,ALABAMA,TALLAPOOSA,1997,6864.0,23.620046648249048,,0.0,0.0,157000.0,121534.28770666145,,,,,457.8745248776202,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
72,ALABAMA,TUSCALOOSA,1997,7587.0,367.65116087274606,,303.600848162096,15.815795195751937,1158496.0,413.9085321609944,,,,,506.1034411781038,230.6995211250389,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
73,ALABAMA,WALKER,1997,6506.0,8.215668399390974,,0.0,0.0,3808715.0,51631.13987818939,,,,,433.9935400428027,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
10,ALABAMA,AUTAUGA,1997,8300.0,75.9949326943665,,4437.898713836112,0.0,0.0,301.7424795524807,,,,,553.6652908630897,3372.260368445305,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
15,ALABAMA,BULLOCK,1997,0.0,,,51.13277442730038,0.0,277600.0,,,,,,0.0,38.85465618948024,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
33,ALABAMA,DALLAS,1997,17184.0,463.1583060156661,,892.6930202099525,0.0,66.0,368.0942289828691,,,,,1146.2872720712453,678.3375393080091,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
35,ALABAMA,ELMORE,1997,9969.0,932.4783633308755,,0.0,363.7632895022945,0.0,407.5893179295289,,,,,664.9987089896556,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
41,ALABAMA,GREENE,1997,8010.0,28.754839397868405,,0.0,0.0,0.0,37.91528538879338,,,,,534.3203590136563,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
42,ALABAMA,HALE,1997,13688.0,752.760617094198,,0.0,0.0,0.0,208.53406963836358,,,,,913.0807832932499,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
52,ALABAMA,LOWNDES,1997,19916.0,144.80115553926592,,0.0,0.0,804026.0,,,,,,1328.5298714252165,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
53,ALABAMA,MACON,1997,0.0,,,466.5865666491159,0.0,0.0,,,,,,0.0,354.54873772900714,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
55,ALABAMA,MARENGO,1997,17878.0,1959.436913254747,,34.08851628486692,0.0,0.0,298.58287243674783,,,,,1192.5816951867853,25.903104126320162,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
60,ALABAMA,MONTGOMERY,1997,22120.0,405.6486272199293,,183.22577503115969,461.82121971595654,624000.0,,,,,,1475.5513534809093,139.22918467897082,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
62,ALABAMA,PERRY,1997,9453.0,702.4396481479282,,135.28879900556558,0.0,38.0,385.47206811939935,,,,,630.5780716299744,102.80294450133312,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
69,ALABAMA,SUMTER,1997,12414.0,6.161751299543229,,125.70140380044676,0.0,0.0,311.22130089967897,,,,,828.0964964788428,95.51769646580559,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
11,ALABAMA,BALDWIN,1997,14956.0,426.1877982184067,,3605.925863258579,329.7593298314279,0.0,,,,,,997.6648301383581,2740.0627333623047,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
16,ALABAMA,BUTLER,1997,9972.0,17.458295348705818,,2554.5081890972147,0.0,1818920.0,796.220993164661,,,,,665.198828974305,1941.1138654661167,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
21,ALABAMA,CHOCTAW,1997,0.0,,,220.51008971773288,0.0,377020.0,695.113565461212,,,,,0.0,167.5607048171335,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
22,ALABAMA,CLARKE,1997,4317.0,18.48525389862969,,568.8521155037167,13.443425916389145,0.0,293.8434617631487,,,,,287.9726579103564,432.25805010796756,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
27,ALABAMA,CONECUH,1997,0.0,,,211.98796064651614,0.0,0.0,191.15623050183328,,,,,0.0,161.08492878555347,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
36,ALABAMA,ESCAMBIA,1997,0.0,,,1211.2075942466777,0.0,0.0,1159.5758114739308,,,,,0.0,920.369668488313,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
58,ALABAMA,MOBILE,1997,11182.0,1492.1707730393855,,0.0,483.96333299000923,145.0,,,,,,745.9138894495266,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
59,ALABAMA,MONROE,1997,8604.0,21.566129548401307,,1641.5751123431226,0.0,0.0,349.13658628847236,,,,,573.9441159742198,1247.396358083105,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
74,ALABAMA,WASHINGTON,1997,6008.0,56.482720245812935,,4445.355576773427,580.439683684096,632527.0,305782.037249945,,,,,400.7736225910173,3377.926672472938,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
75,ALABAMA,WILCOX,1997,9401.0,36.97050779725938,,0.0,0.0,84.0,488.15929938071474,,,,,627.1093252293864,0.0,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
12,ALABAMA,BARBOUR,1997,10972.0,26.700922298020664,,2281.8000588182795,0.0,457007.0,200.6350518490316,,,,,731.9054905240748,1733.8890324555555,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
25,ALABAMA,COFFEE,1997,15198.0,728.1136118960251,,4898.0936836818155,143.92373628134263,8910399.0,265369.08243616484,,,,,1013.8078422334024,3721.9522741506275,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
29,ALABAMA,COVINGTON,1997,17039.0,508.3444822123165,,1948.371758906925,290.219841842048,3200125.0,328204.1891467427,,,,,1136.6148061465287,1480.5242952199865,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
30,ALABAMA,CRENSHAW,1997,12635.0,15.404378248858075,,1584.0507411124097,49.8197548666186,3575687.0,117831.22816702262,,,,,842.8386686813421,1203.6848698699393,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
32,ALABAMA,DALE,1997,10005.0,28.754839397868405,,1947.3064927730225,132.85267964431625,1840519.0,266.98680127942004,,,,,667.4001488054474,1479.7148232160391,,"种类：sheep_goats,FAO总量：9674000.0,国家总量：12233340.0; 种类：layers,FAO总量：303604000.0,国家总量：192178324.0; 种类：cattle_beef_slaughtered,FAO总量：38110900.0,国家总量：1514600.0; 种类：broilers_slaughtered,FAO总量：7903539000.0,国家总量：0.0; "
