year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1985,-40,COLORADO,OTHER (COMBINED) COUNTIES,,,3251.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.2716131577209,,,,,,,,,,,,,,,,,,,,2.1209,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-26,ARIZONA,OTHER (COMBINED) COUNTIES,34.832,,12.7,,,10700.0,,,,,27.939999999999998,,,,,,182.374,,,,27.939999999999998,182.374,39.186,,,20.32,,,,,,27.939999999999998,,,,220.482,2871.562867593305,,,21.473068225021375,,,58000.0,,,,,1947.5822392867092,,,,,,5477.276957895229,,,6.846665000000001,,,3.14452,,,14.73,,,,,10.698480000000002,,,,,,19.239096,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,17.779999999999998,,,,95.832,0.353808,,,50.8,,,,,,97.992,,17.779999999999998,,,,,,,30.48,,,223.608,,,78.74,,,,152.43200000000002,,,,11.10077840388827,,,,3877.0285296610505,1000.3606282021034,,,2355.333527355838,,,,,,1360.8141510298706,,,,,,2.32156,,,,7.537332,3.6015840000000003,,,3.5712399999999995,,,,,,8.198664,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-23,WISCONSIN,OTHER (COMBINED) COUNTIES,,,2.54,,,,,,,,,,,,,0.0127008,25.859,,,,,,,,,7.62,,,,,,,,,,34.5694,,,,2.7751946009720676,,,,,,,,,,,,,22.842045354149317,461.3159971991262,,,,,,2.032,,,,,,,,,,,,,2.5614792,7.776754,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,55.5135,,713.74,115.381,,,18.15,1.617084,,22.86,57.15,6.975896687,,,,,,,,,59.69,,92.52250000000001,,,182.88,141.505,,65.34,,177.79999999999998,78.74,7.40803188,,,,2029.03456603257,,,284.7349660597342,152.1933294489731,,,694.9390760713203,3130.470393647076,,789.1934791934791,2679.5084644542762,2895.442823836605,,,,,,,,5.647138,,,19.24304,334.27835,,,3.605316,4.551876,,3.048,9.62152,0.202980073512,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,698.5,1872.22,,,,0.045360000000000004,,,,4.815220721999999,,,,0.024948,5444.0,,754.38,,,,,,,914.4,2242.31,,,,,,6.1733599,,,6532.8,,,,765.2599112180477,6857.314541965052,,,,99.6703002504838,,,,2210.628545999731,,,,54.364067942875366,89813.73396797146,,,,,,12.35202,274.88979,,,,0.9888480000000001,,,,0.119392780466,,,,1.9300680000000001,9.369124,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,27200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34400.0,,,,,,,,,,,,,,,,,,,,7.54,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,39.186,,281.94,,,7800.0,,,,,17.779999999999998,2.222409564,,,,0.015422400000000001,217.76000000000002,,33.019999999999996,,,,67.48700000000001,,,35.559999999999995,,,,,,25.4,2.592811158,,,522.624,1380.2660030736583,,,92.96901913256427,,,22000.0,,,,,1165.0036801975116,1444.117126245477,,,,31.887495314392446,3902.8149851536687,,,4.54993,,,4.20878,,,13.8,,,,,3.302,0.123467198,,,,3.440556,11.671936,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,,57.162,,,,,,,,,,,,,,,,,,,57.162,,,,,,,,,,,,,,,,,,1306.3815849886757,,,,,,,,,,,,,,,,,,,,9.978852000000002,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,48.26,805.49,,,,,43.091049999999996,,99.06,2.839745554,,5600.0,,,288.53200000000004,,48.26,,,,,,,62.23,849.03,,,43.091049999999996,,139.7,2.839745554,,,419.18800000000005,,,,41.97481833970253,2084.761456225556,,,,,1387.4246736166324,,6331.5417402038665,1249.485699912892,,128557.16932693381,,,4585.943688970664,,12.76,,,,24.13,324.26415000000003,,,,,321.323156,,9.657079999999999,0.05370823113,,24.1,,,14.312275999999999,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-16,PENNSYLVANIA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.018144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.902645301140154,,,,,,,,,,,,,,,,,,,,1.732752,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,149.6847,,,,200.0,47.916,,,,,0.8642703860000001,,,,,,,,56.628,,,,167.82829999999998,,,,,69.696,,,,0.987737584,,,,,1682.4334786399302,,,,,400.0,3243.536698210773,,,,,225.86856883040738,,,,,,,,,404.965152,,,,,2.0,1.7975759999999998,,,,,0.01605073574,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-14,NEW MEXICO,OTHER (COMBINED) COUNTIES,,,635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.46711194486738,,,,,,,,,,,,,,,,,,,,2.3114,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
1985,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,,,153.67,,,,3.7752,,,,,,,,,,14.1544,,,,,,,,,163.06799999999998,,,6.8244,,,,,,,23.409200000000002,,,,139.3112999755466,,,,220.91747470898815,,,,,,,,,,269.44120190391436,,,,,,5.854699999999999,,,,1.6886759999999998,,,,,,,,,,10.18028,"种类：PRODUCTION_BEANS,FAO总量：1011400.0,国家总量：1300669.325; 种类：PRODUCTION_CORN,FAO总量：3109600.0,国家总量：227685193.6; 种类：PRODUCTION_RYE,FAO总量：518200.0,国家总量：355244.4; 种类：PRODUCTION_COTTON,FAO总量：7713000.0,国家总量：2923694.6725000003; 种类：PRODUCTION_SOYBEANS,FAO总量：57128000.0,国家总量：2935436.33646594; 种类：PRODUCTION_SUNFLOWER,FAO总量：1430000.0,国家总量：2859285.7439999995; 种类：PRODUCTION_WHEAT,FAO总量：65975008.0,国家总量：131968036.664; "
