year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_SOYBEANS","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1973,-30,MISSOURI,OTHER (COMBINED) COUNTIES,34.28775,,,97.965,,,,,,,,,,,,,,,,,,,,47.894000000000005,,,119.735,,,,,,,,,,1114.8511169362364,,,113.69428307905665,,,,,,,,,,,,,,4.911312000000001,,,48.87365,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,0.13608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.8339117849565,,,,,,,,,,,,,,,,,1.40616,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,5.0071,,3.302,,,,8.2764,,,,,,,,,0.009072,11.432400000000001,,,,,,,5.4425,,4.826,,,,,,,,,,17.9652,193.1392462348519,,3.8457062905990975,,,,394.2605848107749,,,,,,,,,10.863190076605735,165.60870643575672,2.5362050000000003,,1.6382999999999999,,,,1.282116,,,,,,,,,1.075032,5.1718,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-12,SOUTH DAKOTA,OTHER (COMBINED) COUNTIES,,,26924.0,,22.86,,,,,,,3.827483138,,,,,,,,,,,,,,,,22.86,,,,,3.950950336,,,,,,3057.3365010262823,,213.36,,,,,,,1596.7985820445492,,,,,,,,1.5951199999999999,,1.41732,,,,,,,0.22792044750799997,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-11,TENNESSEE,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,13.58139178,,,,,,,,,,,,,,,,,,,,,17.532342116000002,,,,,,,,,,,,,,,6730.533272440336,,,,,,,,,,,,,,,,,0.1111204782,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-10,MICHIGAN,OTHER (COMBINED) COUNTIES,,213.64088999999998,6.35,,,,,,,,,0.09877375840000001,,,,,,,,,,,,,215.00166,,,,,,,,0.17285407719999998,,,,,3773.2012045393462,1.1582901089542519,,,,,,,,,47.413473255247695,,,,,,,192.32216,0.5841999999999999,,,,,,,,,0.07901900671999999,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-9,SOUTH CAROLINA,OTHER (COMBINED) COUNTIES,1.0885,,,,,,,,,,6.35,,,,,,,,,,,,,1.0885,,,,,,,,20.573999999999998,,,,,32.6616538164913,,,,,,,,,,199.675200417325,,,,,,,0.6531,,,,,,,,,,2.42316,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-8,ARKANSAS,OTHER (COMBINED) COUNTIES,,,,,,,,,58.51311,,,,,,,,,,,,,,,,,,,,,58.51311,,,,,,,,,,,,,,,2196.774157430025,,,,,,,,,,,,,,,,,355.7188857,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-7,VIRGINIA,OTHER (COMBINED) COUNTIES,2.8301000000000003,,,,,,,,,,,1.172938381,,,,,,,,,,,,4.354,,,,,,,,,1.172938381,,,,121.93684091490087,,,,,,,,,,,506.8336796250616,,,,,,0.93611,,,,,,,,,,,0.11914584607,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-6,MARYLAND,OTHER (COMBINED) COUNTIES,,,,,,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4100.0,,,,,,,,,,,,,,,,,2.28,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-5,GEORGIA,OTHER (COMBINED) COUNTIES,14.150500000000001,,7.62,59.8675,,,,,,,127.762,0.40744175339999994,,,,,,,,,,,,18.5045,,9.398,142.5935,,,,,260.858,,,,,464.44871727050634,,5.448083911682054,85.83918372468777,,,,,,,4695.653004244385,185.29403341131288,,,,,,6.435212000000001,,3.642359999999999,464.13640000000004,,,,,,,8.55218,0.049016477606,,,,,,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-4,MISSISSIPPI,OTHER (COMBINED) COUNTIES,,,,,,,,,,,204.47,,,,,,174.208,,,,,,,,,,,,,,,805.18,,,,362.026,,,,,,,,,,,6773.7916090940635,,,,,,2076.288259791576,,,,,,,,,,,10.335259999999998,,,,,,10.811784,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
1973,-3,NORTH CAROLINA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,1.27,,,,,,3.2664,,,,,,,,,,,,,,,5.08,,,,5.444,,,,,,,,,,,57.375025942699715,,,,,,52.18184779899465,,,,,,,,,,,2.286,,,,,,3.6474800000000003,"种类：PRODUCTION_BEANS,FAO总量：738172.0,国家总量：497821.82884999993; 种类：PRODUCTION_CORN,FAO总量：2626200.0,国家总量：145701722.82; 种类：PRODUCTION_RYE,FAO总量：626820.0,国家总量：398881.6; 种类：PRODUCTION_COTTON,FAO总量：7375156.0,国家总量：2824366.2173999995; 种类：PRODUCTION_SOYBEANS,FAO总量：42117936.0,国家总量：1908385.685417958; 种类：PRODUCTION_SUGARBEETS,FAO总量：22288000.0,国家总量：11782200.0; 种类：PRODUCTION_SUGARCANE,FAO总量：23429744.0,国家总量：620000.0; 种类：PRODUCTION_WHEAT,FAO总量：46560784.0,国家总量：92293804.3968; "
