year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1983,-39,WASHINGTON,OTHER (COMBINED) COUNTIES,23.947000000000003,,,,,,23.232,,,,,,,,,,54.440000000000005,,,,,70.772,23.947000000000003,,,,,,47.916,,,,,,,70.772,1665.6028936724135,,,,,,,1676.6855794775286,,,,,,,,,,2014.0134510810756,,,3.02603,,,,,,,4.926636,,,,,,,,,,10.430704,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-25,ALABAMA,OTHER (COMBINED) COUNTIES,,,22.86,174.16,,,130.68,0.367416,,,129.54,0.6173359900000001,,,,,97.992,,22.86,,,,,,,27.939999999999998,187.222,,333.96,,,190.5,0.6173359900000001,,,141.544,,,,13.940641469177331,363.44126845214345,,,7006.934932576398,826.9624304986716,,,5466.913079632584,244.94410185463119,,,,,1279.170705416359,,,,,,1.23952,216.30672,,,10.62138,2.737476,,,7.515859999999999,0.02222409564,,,,,7.5399400000000005,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-24,NORTH DAKOTA,OTHER (COMBINED) COUNTIES,,4.5359,,,,,,,,,,,,,,,,,,,,,,4.5359,,,,,,,,,,,,,,28.771877945107995,,,,,,,,,,,,,,,,,,,,42.410664999999995,,,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-23,WISCONSIN,OTHER (COMBINED) COUNTIES,9.7965,,,,,,,,,,,,,,,0.020412,19.8706,,,,,,9.7965,,,,,,,,,,,,,20.6872,470.28787586044615,,,,,,,,,,,,,,,,28.539149126695143,299.3803778634031,,,5.24657,,,,,,,,,,,,,,,,1.741824,21.253376,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,104.49600000000001,,167.64,,,,30.492,1.99584,,27.939999999999998,27.939999999999998,6.9141630880000005,,,,,,,,,27.939999999999998,,130.62,,,223.51999999999998,,,71.148,,160.01999999999998,30.48,7.40803188,,,,4724.651345449853,,,359.7952830090405,,,,1544.8936998679412,3027.926598396685,,840.6054781355117,1060.5558861180996,3543.5246734969974,,,,,,,,7.930811,,,20.848319999999998,,,,4.139652,3.9395160000000002,,3.4924999999999997,3.81,0.21705533408399996,,,,,,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,462.28,1044.96,,,,,,,,20.001686076,,,,0.0122472,,,474.97999999999996,,,,,,,698.5,1066.73,,,,,,22.22409564,,,,,,,783.8442498805618,2114.3051569477866,,,,,,,,10287.65227789451,,,,16.00753556785785,,,,,,,10.12952,174.79133,,,,,,,,0.12840588592000002,,,,0.5878656,,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,31200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200.0,,,,,,,,,,,,,,,,,,,,8.06,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,39.186,,411.47999999999996,,,11000.0,,,,,71.11999999999999,2.222409564,,,,0.0149688,234.092,,33.019999999999996,,,,111.027,,,35.559999999999995,,,,,,106.67999999999999,2.716278356,,,691.388,1428.2816970576512,,,141.05394504722156,,,23200.0,,,,,2848.3500941457532,958.0035983647798,,,,21.633040924562177,4262.087924855357,,,4.832940000000001,,,2.62382,,,14.8,,,,,2.9972,0.0740803188,,,,2.002644,11.05132,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,44.449999999999996,,,,,,70.772,,,,,,,,,,,,,,,497.84,,,,111.602,,,,,,,,,,,,2520.0827960615798,,,,,,1306.3871034039407,,,,,,,,,,,,,,12.05992,,,,,,10.15306,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,49.53,522.48,,,,,54.4308,,236.22,10.49471183,,6600.0,,,288.53200000000004,,49.53,,,,,,,59.69,566.02,,,54.4308,,311.15,11.358982216,,,460.01800000000003,,,,76.0398625591491,1335.5024388360507,,,,,1818.117870970789,,13095.340060496344,6314.114625586049,,154028.34660490422,,,3891.9449122242404,,27.47,,,,15.66164,343.20405,,,,,514.915368,,12.4968,0.101366569558,,24.8,,,15.2432,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,91.43400000000001,195.04369999999997,,,91.44,,,,,251.45999999999998,,1.2346719800000001,,,9.20808,,824.7660000000001,,,,,,191.57600000000002,235.86679999999998,,,,111.75999999999999,,,330.2,,1.481606376,,9.48024,1107.854,4060.5874466654263,1641.6895062796918,,,,1051.56,,,,,10347.688611244592,,661.3490750075042,,,5386.74106753339,,14130.753835152627,,,8.790726000000001,329.170263,,,,3.3274,,,,,9.98982,,0.120503985248,,,8.04060432,,41.491446,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-12,SOUTH DAKOTA,OTHER (COMBINED) COUNTIES,89.257,,,,73.66,,,,,137.16,76.2,6.420294296000001,,,5.4432,,805.712,,,,81.28,481.79400000000004,91.43400000000001,,,,,73.66,,,157.48,139.7,6.543761494000001,,5.4432,838.3760000000001,3237.583663909645,,,,,861.06,,,,,5462.287361845266,2353.424013957307,3848.3440002494276,,,2636.8757765509677,,10105.448572789233,,,4.704497,,,,,4.32816,,,,,10.101579999999998,8.602979999999999,0.1975475168,,,9.8843976,,29.160786,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
1983,-11,TENNESSEE,OTHER (COMBINED) COUNTIES,,,10.16,,,,,,,,92.71,0.987737584,,,,,103.436,,12.7,,,,,,,17.779999999999998,,,,,,157.48,1.481606376,,,190.54000000000002,,,,17.235702180073794,,,,,,,,3648.8172748587,462.6721923920811,,,,,1431.5825341468185,,,,,,3.0987999999999998,,,,,,,,4.191,0.051856223160000006,,,,,7.02276,"种类：PRODUCTION_BEANS,FAO总量：703970.0,国家总量：943340.1947999999; 种类：PRODUCTION_CORN,FAO总量：2694740.0,国家总量：108016601.34; 种类：PRODUCTION_RYE,FAO总量：686000.0,国家总量：528574.0; 种类：PRODUCTION_COTTON,FAO总量：4482500.0,国家总量：1691550.7700000003; 种类：PRODUCTION_SOYBEANS,FAO总量：44518400.0,国家总量：2019606.04858114; 种类：PRODUCTION_SUNFLOWER,FAO总量：1451000.0,国家总量：2900892.6576; 种类：PRODUCTION_WHEAT,FAO总量：65857904.0,国家总量：131733240.2104; "
