year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1977,-37,KANSAS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,6.988243406800001,,,,,,,,,,,,,,,,,,,,6.988243406800001,,,,,,,,,,,,,,,5832.23943219479,,,,,,,,,,,,,,,,,,,0.275702253134,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,462.28,187.222,,,,,,,,72.22831083,,,,,76.21600000000001,,,,,,,,647.6999999999999,195.93,,,,,,74.69765479,,,136.1,,,390.6129685471123,351.4011187066755,,,,,,,,40135.8412538136,,,,,898.1411981654196,,,,,2.9082999999999997,82.74777,,,,,,,,0.112478617378,,,,,6.1626080000000005,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,24400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41000.0,,,,,,,,,,,,,,,,,,,9.48,,,,,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,91.43400000000001,,462.28,,,8400.0,,,,,104.14,3.2101471480000003,,,,0.002268,261.312,,,,,,174.16,,63.5,,,,,,254.0,4.074417534,,,571.62,3690.438445095567,,183.8728728982381,,,19400.0,,,,,5869.765326212982,2118.5834683568733,,,,5.016520085956216,4409.056790993878,,,5.2248,,2.36474,,,17.3,,,,,7.62,0.14692596562,,,,0.961632,10.83356,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,18.796,,,,,,52.8068,,,,,,,,,,,,,,35.052,,,,59.339600000000004,,,,,,,,,,,1368.3495943257788,,,,,,993.398597970843,,,,,,,,,,,,,10.95248,,,,,,11.965912000000001,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,,302.603,,,,,517.5461899999999,,66.03999999999999,,,,,,81.66,,,,,,,,,304.78000000000003,,,525.7108099999999,,162.56,,,,176.93,,,,664.8893952984602,,,,,18038.309071692758,,1832.8815599271504,,,,,,1311.8304773204009,,,,,,285.01284000000004,,,,,725.1724766,,6.6293999999999995,,,,,,18.188404000000002,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,513.0799999999999,,,,,,,,,,,,,,,,,,,,617.22,,,,,,,,,,,,,,,23308.194369849065,,,,,,,,,,,,,,,,,,,11.89228,,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,7.6195,,14.985999999999999,,,,5.3724,,,,,,,,,0.004536,10.888,,,,,,9.3611,,2.286,,,,,,,,,,15.787600000000001,302.63772499603766,,5.036739583550905,,,,177.1496141750958,,,,,,,,,9.303364523046072,156.4942996803383,,,2.601515,,2.3520399999999997,,,,0.96558,,,,,,,,,0.925344,5.2534600000000005,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-12,SOUTH DAKOTA,OTHER (COMBINED) COUNTIES,,,8.128,,,,,,,111.75999999999999,,0.370401594,,,4.44528,,,,9.398,,,,,,25.4,,,,,139.7,,0.493868792,,4.5360000000000005,,,,5.228008175331319,,,,,,,4941.804148532273,,149.96408077172205,,,1779.0708206675918,,,,,,,1.8186399999999998,,,,,,,9.21512,,0.04444819128,,,6.1127136,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-11,TENNESSEE,OTHER (COMBINED) COUNTIES,67.7047,,,,,,,,,,159.512,,,,,,,,,,,,138.23950000000002,,,,,,,,370.84,,,,,2595.2817855775315,,,,,,,,,,8038.422709101993,,,,,,,,,4.85471,,,,,,,,,,7.7978,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-10,MICHIGAN,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,410.0,,,,,,,,,,,,,,,,,,,,440.0,,,,,,,,,,,,,,,7835.397409845084,,,,,29.8,,,,,,,,,,,,,,41.7,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-9,SOUTH CAROLINA,OTHER (COMBINED) COUNTIES,2.177,,,,,,,0.37648800000000004,,13.969999999999999,7.874,,,,,,,,,,,,3.2655000000000003,,,,,,,90.17,23.875999999999998,,,,,65.31749460346137,,,,,,,639.7381921753242,,490.28923048430414,207.01968032235033,,,,,,,,,1.3062,,,,,,,4.2407064000000005,,4.20116,2.44348,,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-8,ARKANSAS,OTHER (COMBINED) COUNTIES,,,,71.84100000000001,,,66.792,,2.26795,,,0.185200797,,,,,,,,,,,,,,76.19500000000001,,135.762,2.26795,,,0.185200797,,,,,,,183.90557742297833,,,3670.3643201402074,,90.96015869947435,,,73.61873056066355,,,,,,,,,,,431.19839,,,9.384276,,199.57959999999997,,,0.02222409564,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-7,VIRGINIA,OTHER (COMBINED) COUNTIES,2.177,,104.14,,,,197.472,,,,,0.740803188,,,,,,,,,,,4.354,,,,,453.024,,,,0.740803188,,,,87.08999280461516,,20.104454202696857,,,,8509.03766599716,,,,,289.0216829418643,,,,,,,,0.8708,,1.1938,,,,6.5790120000000005,,,,,0.08642703859999999,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-5,GEORGIA,OTHER (COMBINED) COUNTIES,9.7965,,10.668,,,,98.5908,,,83.82,63.754,0.740803188,,,,,,,,,,,11.7558,,44.449999999999996,,,249.1632,,299.71999999999997,236.474,0.8642703860000001,,,,306.77449965425694,,3.4428346520474538,,,,4352.609941674047,,,2688.808398925827,1770.2707297808784,321.46845678156416,,,,,,,,5.647138,,2.73304,,,,8.103612,,,3.5052,6.47446,0.14877797359,,,,,,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-4,MISSISSIPPI,OTHER (COMBINED) COUNTIES,,,55.879999999999995,1307.2885,,,,,,,170.18,,,,,,457.296,,,,,,,,101.6,1526.077,,,,,505.46,,,,762.1600000000001,,,37.27612333142737,1533.4895840500656,,,,,,,5228.509243263263,,,,,,6153.628027430344,,,,,3.07848,198.23762000000002,,,,,,,9.779,,,,,,16.538872,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
1977,-3,NORTH CAROLINA,OTHER (COMBINED) COUNTIES,,,762.0,,,,2.7588,,,,0.508,,,,,,5.444,,,,,,,,,,,,,,3.81,,,,5.9884,,,110.21321299702527,,,,106.43617314487157,,,,20.197041982668324,,,,,,85.45949582543689,,,,,0.48514,,,,1.7424,,,,1.016,,,,,,3.42972,"种类：PRODUCTION_CORN,FAO总量：2806230.0,国家总量：167697208.42; 种类：PRODUCTION_RYE,FAO总量：420209.0,国家总量：274294.6; 种类：PRODUCTION_COTTON,FAO总量：8141767.0,国家总量：3132315.9294; 种类：PRODUCTION_SOYBEANS,FAO总量：48097936.0,国家总量：2177977.917324532; 种类：PRODUCTION_SUNFLOWER,FAO总量：1330000.0,国家总量：2503935.5039999997; 种类：PRODUCTION_WHEAT,FAO总量：55671056.0,国家总量：111356839.80360001; "
