year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_RICE,AREA HARVESTED_RYE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUGARBEETS,AREA HARVESTED_SUGARCANE,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_TOBACCO,AREA HARVESTED_WHEAT,"AREA PLANTED, NET_BARLEY","AREA PLANTED, NET_CORN","AREA PLANTED, NET_OATS","AREA PLANTED, NET_SORGHUM","AREA PLANTED, NET_WHEAT",AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_OATS,AREA PLANTED_RICE,AREA PLANTED_RYE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUGARBEETS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_RICE,PRODUCTION_RYE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUGARBEETS,PRODUCTION_SUGARCANE,PRODUCTION_SUNFLOWER,PRODUCTION_TOBACCO,PRODUCTION_WHEAT,SUCROSE_SUGARBEETS,SUCROSE_SUGARCANE,YIELD_BARLEY,YIELD_BEANS,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_OATS,YIELD_PEANUTS,YIELD_RICE,YIELD_RYE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUGARBEETS,YIELD_SUGARCANE,YIELD_SUNFLOWER,YIELD_TOBACCO,YIELD_WHEAT,标记
1979,-38,MASSACHUSETTS,OTHER (COMBINED) COUNTIES,,,,,,,,,,,,,,,,0.099792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.47103163855124,,,,,,,,,,,,,,,,,,,,0.83916,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-22,OKLAHOMA,OTHER (COMBINED) COUNTIES,32.655,,63.5,,,,11.616,1.49688,,97.78999999999999,20.32,4.32135193,,,,,,,73.66,,20.32,,50.071000000000005,,,111.75999999999999,,,45.012,,576.5799999999999,30.48,4.444819128,,,,1666.9195707542933,,,83.06256572478445,,,,586.284892721738,3009.154116255105,,3087.07123270597,1162.1194348870015,2263.620489948427,,,,,,,,5.4425,,,35.735260000000004,,,,0.726,5.275368,,4.42722,5.842,0.20557288466999998,,,,,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-21,FLORIDA,OTHER (COMBINED) COUNTIES,,,482.59999999999997,130.62,,,,,,,,42.47271611199999,,,,,,,515.62,,,,,,,660.4,130.62,,,,,,44.44819128,,,,,,,425.3376210389825,533.0021202985854,,,,,,,,25008.9155335266,,,,,,,,,,,8.13562,177.2078,,,,,,,,0.132356836256,,,,,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-20,ALASKA,OTHER (COMBINED) COUNTIES,,,,,,21200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200.0,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-19,KENTUCKY,OTHER (COMBINED) COUNTIES,97.965,,274.32,,,7400.0,,,,,129.54,4.444819128,,,,0.018597600000000002,304.86400000000003,,48.26,,,,171.983,,,53.339999999999996,,,,,,220.98,4.9386879200000005,,,615.172,4065.9763647418445,,,108.80480053345686,,,20000.0,,,,,6790.819654296218,2929.070368921218,,,,31.44349185027036,4980.6011776008945,,,5.46427,,,4.467859999999999,,,19.4,,,,,7.62,0.10988580621999998,,,,3.819312,11.1602,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-18,IOWA,OTHER (COMBINED) COUNTIES,,,,,,,,,,,13.969999999999999,,,,,,19.054000000000002,,,,,,,,,,,,,,,29.209999999999997,,,,38.108000000000004,,,,,,,,,,,,985.2751730563708,,,,,,340.20499847000644,,,,,,,,,,,,,,12.5476,,,,,,9.761092000000001,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-17,LOUISIANA,OTHER (COMBINED) COUNTIES,,,30.48,166.5405,,,,,689.4567999999999,,71.11999999999999,2.592811158,,7400.0,,,54.440000000000005,,31.75,,,,,,,46.989999999999995,167.629,,,693.9926999999999,,137.16,2.716278356,,,201.428,,,,18.474260307753784,599.2672487681392,,,,,24869.12836029326,,2354.5550289449684,1363.6268011737511,,133560.43825265643,,,625.9771971848119,,13.76,,,,10.62736,320.49794,,,,,728.102668,,5.808979999999999,0.029385193124,,19.1,,,8.416424,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-15,MINNESOTA,OTHER (COMBINED) COUNTIES,,,,,,,,,,429.26,,,,,,,,,,,,,,,,,,,,,518.16,,,,,,,,,,,,,,,,14544.921475757197,,,,,,,,,,,,,,,,,,,,10.34288,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-13,WEST VIRGINIA,OTHER (COMBINED) COUNTIES,2.3947000000000003,,1.778,,,110.0,,,,,,,,,,,17.9652,,1.27,,,,3.7009000000000003,,,1.778,,,,,,,,,,27.220000000000002,106.77001172151681,,,1.4070512211138058,,,150.0,,,,,,,,,,,295.57010267074156,,,2.7582590000000002,,,4.064,,,1.4,,,,,,,,,,,9.41812,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-12,SOUTH DAKOTA,OTHER (COMBINED) COUNTIES,67.48700000000001,,,,55.879999999999995,,,,,86.36,62.23,3.4570815440000002,,,4.309200000000001,,451.85200000000003,76.19500000000001,,,86.868,462.74,76.19500000000001,,,,,55.879999999999995,,,119.38,198.12,3.4570815440000002,,4.309200000000001,479.072,2181.1588108824153,,,,,744.2199999999999,,,,,2969.270534712701,1584.0193166829345,1892.7140000291668,,,2580.454516173687,,5563.032134981545,,,3.4353060000000006,,,,,4.80568,,,,,6.316979999999999,7.5184,0.369413856416,,,6.426604800000001,,21.62629,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-11,TENNESSEE,OTHER (COMBINED) COUNTIES,56.602000000000004,,,3.2655000000000003,,,,,,,204.47,,,,,,,,,,,,102.97210000000001,,,,3.4832,,,,,309.88,,,,,2590.8070191200713,,,,1.1524370168618063,,,,,,,10567.707817678971,,,,,,,,,5.85613,,,,13.9328,,,,,,,8.1534,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-10,MICHIGAN,OTHER (COMBINED) COUNTIES,,,47.244,,,,,,,,,,,,,,,,,,,,,,,50.291999999999994,,,,,,,,,,,,,,17.07794993565611,,,,,,,,,,,,,,,,,,,,4.25196,,,,,,,,,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-9,SOUTH CAROLINA,OTHER (COMBINED) COUNTIES,12.408900000000001,,,249.2665,,,,0.37422,,22.352,6.604,,,,,,,,,,,,14.5859,,,,249.2665,,,,85.09,20.573999999999998,,,,,549.1029174249436,,,,743.3218758758651,,,,553.7393191099577,,582.0740371432132,240.0029267701416,,,,,,,,,3.7749180000000004,,,,398.47808000000003,,,,3.6492120000000003,,3.1775399999999996,3.6957,,,,,,,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
1979,-8,ARKANSAS,OTHER (COMBINED) COUNTIES,,,157.48,,,,39.204,,68.0385,,121.92,3.2101471480000003,,,,,114.324,,182.88,,,,,,,241.29999999999998,,,135.036,68.0385,,205.73999999999998,3.4570815440000002,,,228.648,,,,114.74807032238542,,,,1802.8260451193444,,2808.759326066436,,4711.636404487515,1718.1697694789266,,,,,1630.262352668271,,,,,,16.9164,,,,7.14384,,568.8018599999999,,6.0451999999999995,0.14692596562,,,,,13.337800000000001,"种类：PRODUCTION_BEANS,FAO总量：932220.0,国家总量：1257758.35023; 种类：PRODUCTION_CORN,FAO总量：2871760.0,国家总量：203734464.26000002; 种类：PRODUCTION_RYE,FAO总量：555950.0,国家总量：407568.4; 种类：PRODUCTION_COTTON,FAO总量：8427096.0,国家总量：3183824.8379; 种类：PRODUCTION_SOYBEANS,FAO总量：61526304.0,国家总量：2785395.6638419945; 种类：PRODUCTION_SUNFLOWER,FAO总量：3310000.0,国家总量：6619030.992000001; 种类：PRODUCTION_WHEAT,FAO总量：58080576.0,国家总量：116176517.5284; "
