year,OBJECTID,State,County,AREA HARVESTED_BARLEY,AREA HARVESTED_BEANS,AREA HARVESTED_CANOLA,AREA HARVESTED_CHICKPEAS,AREA HARVESTED_CORN,AREA HARVESTED_COTTON,AREA HARVESTED_FLAXSEED,AREA HARVESTED_HAY,AREA HARVESTED_LENTILS,AREA HARVESTED_OATS,AREA HARVESTED_PEANUTS,AREA HARVESTED_PEAS,AREA HARVESTED_RICE,AREA HARVESTED_SORGHUM,AREA HARVESTED_SOYBEANS,AREA HARVESTED_SUNFLOWER,AREA HARVESTED_WHEAT,AREA PLANTED_BARLEY,AREA PLANTED_BEANS,AREA PLANTED_CANOLA,AREA PLANTED_CHICKPEAS,AREA PLANTED_CORN,AREA PLANTED_COTTON,AREA PLANTED_FLAXSEED,AREA PLANTED_LENTILS,AREA PLANTED_OATS,AREA PLANTED_PEANUTS,AREA PLANTED_PEAS,AREA PLANTED_RICE,AREA PLANTED_SORGHUM,AREA PLANTED_SOYBEANS,AREA PLANTED_SUNFLOWER,AREA PLANTED_WHEAT,PRODUCTION_BARLEY,PRODUCTION_BEANS,PRODUCTION_CANOLA,PRODUCTION_CHICKPEAS,PRODUCTION_CORN,PRODUCTION_COTTON,PRODUCTION_FLAXSEED,PRODUCTION_HAY,PRODUCTION_LENTILS,PRODUCTION_OATS,PRODUCTION_PEANUTS,PRODUCTION_PEAS,PRODUCTION_RICE,PRODUCTION_SORGHUM,PRODUCTION_SOYBEANS,PRODUCTION_SUNFLOWER,PRODUCTION_WHEAT,YIELD_BARLEY,YIELD_BEANS,YIELD_CANOLA,YIELD_CHICKPEAS,YIELD_CORN,YIELD_COTTON,YIELD_FLAXSEED,YIELD_HAY,YIELD_LENTILS,YIELD_OATS,YIELD_PEANUTS,YIELD_PEAS,YIELD_RICE,YIELD_SORGHUM,YIELD_SOYBEANS,YIELD_SUNFLOWER,YIELD_WHEAT,标记
2021,-85,NEW JERSEY,OTHER COUNTIES,,,,,,,,,,,,,,,19.1003755306,,,,,,,,,,,,,,,,19.507817284,,,,,,,,,,,,,,,,,18224.827006065774,,,,,,,,,,,,,,,,,0.053831698328,,,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-73,OKLAHOMA,OTHER COUNTIES,,,,,1798.828,6511.407,,,,,4.799088,,,1114.298,43.7814684108,,734.1234000000001,,,,,2219.96,7532.42,,,,5.12568,,,1216.6599999999999,48.522608813999994,,2613.12,,,,,1715.2234323365954,31647.97834190492,,,,,21183.218795297278,,,59603.856211339626,26182.98344419358,,30677.613413454423,,,,,3.54076,172.2007,,,,,1.9305216,,,1.3589,0.033706545053999996,,1.0969659999999999,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-72,OHIO,OTHER COUNTIES,,,,,7787.132,,,,,197.1816,,,,,700.67634865,,1765.7614,,,,,8082.28,,,,457.38,,,,,703.639561402,,2011.558,,,,,10042.683685484277,,,,,14619.555822664504,,,,,864773.7181119109,,143830.2460313909,,,,,4.7879,,,,,0.9670319999999999,,,,,0.069635499672,,2.1367700000000003,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-71,NORTH CAROLINA,OTHER COUNTIES,,,,,1371.6,9380.693,,,,,12.111120000000001,,,,61.5977850822,,1415.44,,,,,1744.98,9818.27,,,,12.20184,,,,61.980533396000006,,1905.4,,,,,1369.6551571980435,58745.47673158704,,,,,51304.5045928297,,,,45313.37512647295,,85534.87685448068,,,,,3.70586,222.054,,,,,1.852956,,,,0.041484978528000004,,1.586926,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-70,NEW YORK,OTHER COUNTIES,,,,,1570.7359999999999,,,,,144.474,,,,,13.6060852196,,,,,,,1203.96,,,,275.88,,,,,13.951793374,,,,,,,750.68072925536,,,,,10237.729859674624,,,,,13834.86571003332,,,,,,,4.704079999999999,,,,,0.9249240000000001,,,,,0.057288779872,,,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-69,NEBRASKA,OTHER COUNTIES,,,,,98607.87999999999,,,,,352.2552,,,,5631.179999999999,2427.5009265977997,,4781.7374,,,,,101866.7,,,,1658.184,,,,7856.219999999999,2440.576102866,,5362.34,,,,,136011.87033143983,,,,,22342.30183932465,,,,480681.6677608807,3374377.269604258,,256934.89195186435,,,,,5.12064,,,,,0.82764,,,,2.16916,0.07840167073,,1.409996,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-68,MISSOURI,OTHER COUNTIES,,,,,36800.536,3744.44,,,,,,,1950.437,,2409.2648214532,,2978.6846,,,,,38506.4,3809.75,,,,,,1995.7959999999998,,2438.4771605,,4129.274,,,,,39577.778304633786,31449.0151846145,,,,,,,161024.35585992347,,2539576.390685948,,176670.0835775934,,,,,3.9928799999999995,297.59590000000003,,,,,,,374.21175,,0.059387722238000006,,1.5569840000000001,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-67,MISSISSIPPI,OTHER COUNTIES,,,,,1882.9019999999998,17426.885000000002,,,,,6.776784,,1475.07468,,163.55699719060001,,1201.7630000000001,,,,,2029.4599999999998,18003.79,,,,7.21224,,1619.3163,,170.878602032,,1652.2540000000001,,,,,2081.109029490787,97498.36523866917,,,,,28277.22144759759,,107177.01204190394,,158533.28825641345,,66966.84768317931,,,,,4.1021,198.3247,,,,,1.8248328,,329.30634,,0.054695968714,,1.4617140000000002,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-66,MICHIGAN,OTHER COUNTIES,,,,,4812.538,,,,,123.8556,,,,,257.81185614379996,,668.5232,,,,,6075.679999999999,,,,364.452,,,,,260.268853384,,860.152,,,,,4944.547927150946,,,,,8290.072063509811,,,,,275980.9719941094,,40650.37824504574,,,,,3.8150799999999996,,,,,0.872652,,,,,0.060375459822,,1.5950920000000002,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-65,MARYLAND,OTHER COUNTIES,,,,,1813.56,,,,,,,,,,37.1759733178,,337.528,,,,,1991.36,,,,,,,,,37.65749539,,1184.07,,,,,2173.032311048288,,,,,,,,,,40493.60850650627,,25839.42521041238,,,,,4.44754,,,,,,,,,,0.061486664604,,2.008836,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-64,LOUISIANA,OTHER COUNTIES,,,,,867.664,3104.402,,,,,,,2071.54553,,63.215205376,,,,,,,891.54,3548.51,,,,,,2222.591,,65.561082138,,,,,,,940.1932008195488,18741.045783484562,,,,,,,145589.44932952643,,59305.02516850743,,,,,,,4.02336,213.9991,,,,,,,318.42017999999996,,0.052843960744,,,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-63,KENTUCKY,OTHER COUNTIES,,,,,5989.8279999999995,,,,,,,,,,283.06089813479997,,1267.3632,,,,,6421.12,,,,,,,,,284.83882578600003,,2610.398,,,,,7745.331610211976,,,,,,,,,,360820.217853702,,105407.01509801389,,,,,4.8006,,,,,,,,,,0.071857909236,,2.183044,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-62,KANSAS,OTHER COUNTIES,,,,,34012.632,10819.69,,,,287.496,,,,27004.01,722.0608673436001,,37303.921200000004,,,,,36146.74,12387.130000000001,,,1658.184,,,,28704.539999999997,732.2839513380001,,38818.442,,,,,28813.230074583567,60587.49047811447,,,,16001.503885503438,,,,2029726.5789508945,622093.19759922,,2147593.8355156565,,,,,3.14452,198.54240000000001,,,,0.726,,,,1.91008,0.048646076011999995,,1.51071,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-61,IOWA,OTHER COUNTIES,,,,,46476.92,,,,,436.0356,,,,,2950.3721634080002,,,,,,,42870.119999999995,,,,1074.48,,,,,2972.225857454,,,,,,,58950.07545519373,,,,,37836.28327835858,,,,,4080663.6534881005,,,,,,,5.69722,,,,,1.13256,,,,,0.078031269136,,,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-60,INDIANA,OTHER COUNTIES,,,,,32330.897999999997,,,,,,,,,,1432.4540844762003,,2688.7916,,,,,33190.18,,,,,,,,,1434.935775156,,3367.114,,,,,42159.2252863797,,,,,,,,,,1858597.1605296033,,233023.40288070383,,,,,4.84124,,,,,,,,,,0.07321604841399999,,2.275592,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
2021,-59,ILLINOIS,OTHER COUNTIES,,,,,50486.31,,,326260.0,,97.284,,,,,3055.1711210704,,2001.7588,,,,,51196.24,,,,432.69599999999997,,,,,3081.864729278,,2229.318,,,,,67481.49103242485,,,1012970.0,,7646.779281042098,,,,,4389826.137125558,,160427.99785979654,,,,,4.9606200000000005,,,5.9,,1.0251119999999998,,,,,0.08099448188799999,,2.104106,"种类：PRODUCTION_BEANS,FAO总量：1020087.0,国家总量：287394.62399999995; 种类：PRODUCTION_CHICKPEAS,FAO总量：129770.0,国家总量：2261.125330219; 种类：PRODUCTION_CORN,FAO总量：2617864.0,国家总量：382585798.2; 种类：PRODUCTION_COTTON,FAO总量：11246552.92,国家总量：3814757.1000000006; 种类：PRODUCTION_SOYBEANS,FAO总量：120707230.0,国家总量：5513282.03539636; 种类：PRODUCTION_SUNFLOWER,FAO总量：863180.0,国家总量：324550.80000000005; "
